just_unique,t_users,t_ment
__safira,0,1
__salmaa,0,121
__sarah4,0,2
__sebastien,0,3
__serab__,0,1
__sharkk,0,1
__shawtyyhatch,0,1
__shogun,0,2
__snow_rabbit__,0,1
__solo_yiyi,0,1
__sosouleta,0,6
__souscetweet__,0,3
__sport,0,5
__starxoxo,0,1
__stefaniiie__,0,2
__surveysays,0,1
__taisiya__,0,1
__taymur__,0,8
__technoid__,0,4
__ted__,0,3
__tob,0,1
__tokio_hotel__,0,6
__tosh,0,1
__tough_,0,1
__tweetme__,0,1
__twelve,0,1
__untamed,0,3
__vip__2003,0,2
__voguequeen,0,1
__weda__,0,1
__xkate,0,4
__xreems,0,2
__yasumoto__,0,1
__yaya__,0,1
__youknowwho,0,3
__z_,0,1
__z__,0,7
__z2__,0,1
__zac,0,1
__ziaree,0,1
__zoeei,0,1
_0_heba_0_,0,1
_000190858795,0,1
_02ia,0,1
_07_19_,0,1
_0ceiane,0,1
_10257_,0,3
_1bornhustler,0,1
_21,0,1
_211375771549,0,1
_2506430872121,0,1
_30stkirsty,0,1
_31flavorz,0,1
_3ammar,0,1
_3dimesdown,0,1
_3ememitemps,0,1
_3mair,0,1
_3osman_,0,1
_4090757870523,0,1
_4everbelieber_,0,1
_4ustincarlile,0,1
_500yen,0,11
_5670862045353,0,2
_5975331648523,0,1
_5k,0,1
_72lopez,0,43
_750270009244,0,2
_75027000924ena,0,1
_8476784294982,0,1
_90minutos,0,1
_911007,0,5
_940921,0,1
_954697542726,0,1
_9war,0,1
_a_d_h_a_m_,0,8
_a_r_n_a_u_d_,0,1
_a57_,0,1
_a7med_1,0,1
_aarrenbee,0,2
_abbey_,0,1
_abbiee,0,1
_abbona_,0,1
_abdoulayems,0,30
_abdul_24,0,1
_abdul_malik,0,1
_abdullas,0,1
_abeos,0,8
_abirame,0,1
_aboutbritt,0,1
_abuche,0,2
_acerola_,0,1
_achmadprayudi,0,2
_actu_foot_,0,1
_ad,0,4
_adam_lambert_,0,1
_adam_rodriguez,0,1
_adelit_,0,1
_adil_20,0,1
_adityaiskandar,0,2
_adlene_,0,1
_adribewitit,0,1
_advid_,0,2
_ae,0,1
_aek_,0,2
_aellabella_,0,2
_aenki,0,1
_aerodynamic,0,1
_afaemme_,0,1
_afr,0,1
_africanunion,0,33
_africatimes,0,1
_agencedigitale,0,2
_aggelos,0,1
_aggiornamento,0,1
_agricool,0,2
_agupta_,0,1
_aguusjonas_,0,1
_aha,0,6
_ahmad_matar,0,1
_ahmed,0,2
_ahmed_ramadan,0,1
_ahmedtarik_,0,1
_ahmedth_,0,1
_ahotep,0,13
_ahsanr,0,1
_ahussein,0,2
_aicee_,0,6
_aiie_,0,2
_aijaz_,0,1
_airtonjunior,0,1
_aisha___,0,1
_aissa,0,67
_aj9,0,2
_ajay_,0,4
_ajit8_,0,1
_akacole,0,1
_akanshagautam,0,17
_akatsuya_,0,1
_akhbarak_,0,1
_al_khalil,0,1
_al_suwailem,0,1
_alaz_,0,1
_albin_,0,15
_alelm_,0,1
_alenza,0,1
_alexbroadway_,0,1
_alexdecastro_,0,2
_alexhirsch,0,1
_alexhyman,0,1
_alf_i,0,1
_alfredo_leal,0,1
_algrienne,0,1
_aliceawashere,0,1
_aliceemma_,0,1
_alicesofia,0,1
_aliciel,0,2
_alikarabacak,0,1
_alineealves,0,1
_alisex,0,1
_alisoncruz_,0,4
_allbeliebers,0,1
_almaram_,0,1
_alrayes,0,1
_alreadyready_,0,1
_alsayyar,0,3
_altimus,0,11
_always1d_,0,1
_alwaysmissd,0,1
_alxsanchez,0,1
_alyakh,0,1
_amandaala,0,1
_amandaxxmarie_,0,1
_amandinee,0,1
_amaranthiine,0,1
_amata,0,1
_amatiling_,0,1
_ameel,0,1
_ameera,0,2
_ameerhalhussan,0,1
_ameliapereira,0,1
_americanspring,0,1
_amigaonline_,0,1
_amina_,0,1
_aminanaar,0,1
_amiras,0,10
_amixem,0,2
_amomentintime,0,1
_amrkhaled_,0,67
_amrkhaled_akid,0,1
_amroali,0,26
_ana__13,0,26
_anaais,0,1
_anachelito,0,2
_anamonica,0,1
_anamus,0,1
_anara_,0,1
_anashaddad,0,1
_anass11ayed_,0,1
_anchovysgirl,0,1
_ancoratu,0,1
_andeel_,0,4
_andersonpardi,0,1
_andrea_d,0,1
_andreaurbanfox,0,1
_andreferreira,0,1
_andresh,0,1
_andrewblain_,0,1
_andybryant,0,5
_aneria_,0,2
_angelgarciaa,0,2
_aniscmoi,0,1
_anita_nichols_,0,1
_anneso,0,1
_anonops,0,1
_anonymiss_,0,2
_anonymous_swe_,0,4
_ant1_,0,29
_anthonylucas_,0,1
_antihollywood_,0,1
_antitwit,0,1
_antiwar_,0,4
_antoine_o,0,2
_apple_hacker_,0,5
_appserve,0,1
_apreston,0,1
_arabnews,0,2
_arabya_,0,7
_arawww,0,2
_aribabi_,0,1
_arnouba_,0,1
_arojas97,0,3
_arsenal_fc_,0,1
_artgang,0,1
_aryaxo,0,1
_as18,0,1
_asdecoeur,0,1
_aser,0,5
_ash_4_,0,1
_ashley_08,0,1
_ashley_sommers,0,2
_ashleybieber_x,0,1
_ashleymariex,0,3
_ashwin_,0,1
_askel,0,2
_asmahammami,0,1
_asomii,0,1
_astryyy,0,1
_at_kuwait_,0,1
_athaydes_,0,1
_athena474,0,1
_athoooooob,0,1
_audreybelieber,0,1
_aurelia,0,3
_ava,0,1
_avemaia_,0,2
_avt_,0,1
_awny,0,1
_axel22_,0,1
_axlrand,0,1
_axxxxh,0,1
_ayanda_,0,6
_aymen,0,3
_azaddin,0,3
_azza_sami_,0,3
_b_r_u_s_o,0,1
_babitc,0,1
_babitch,0,1
_babitch_,0,1142
_babouha_,0,6
_babybabi,0,2
_babybelieber,0,1
_badassbelieber,0,2
_badiaa_,0,4
_badluckbri,0,1
_bakirova,0,2
_barbara____,0,1
_barbed_wire,0,1
_bartbcn,0,1
_bashar,0,1
_bassem_,0,32
_baudelaire_,0,1
_bbctopgear,0,1
_bbyjesus,0,12
_beadlesbabes,0,1
_beautifulfame,0,3
_beauty_tips,0,1
_beautybelieber,0,1
_beautyfulgirl,0,1
_becbfan4ever_,0,1
_bechm,0,1
_beintaylorsvid,0,1
_belal_,0,1
_belieberhere,0,1
_beliebershere_,0,1
_beliebersworld,0,2
_bellabradshaw,0,2
_ben_thomas,0,1
_ben_walker,0,2
_benas_,0,43
_bengui_m,0,1
_benjamming,0,2
_benlahcen,0,7
_benoit_xvi,0,1
_bensalt,0,1
_bentleys,0,1
_beomnoona,0,2
_bepositive,0,2
_bercy,0,1
_bercy_,0,2
_berengere,0,2
_bergles,0,1
_bernard_tapie,0,1
_bertrand_,0,2
_besot_,0,1
_bestfacilities,0,1
_betsol,0,1
_bewareofyou,0,4
_bfmtv_,0,2
_bhnews,0,1
_bi_the_way,0,1
_bib,0,2
_bibieberx,0,1
_bieber_holic_,0,1
_bieber_smile_,0,1
_bieberarmy_,0,1
_bieberblah_,0,4
_bieberdream_,0,3
_bieberireland,0,1
_bieberlovees,0,1
_bieberluvr_,0,2
_bieberninja,0,2
_bieberperv_,0,2
_biebersshawty_,0,3
_bieberworld_,0,1
_biebsgotswag,0,2
_biebsmylife,0,1
_bigben__,0,4
_bigsam_,0,2
_bintje,0,1
_bizzo,0,2
_bknst3en,0,1
_black_messiah_,0,1
_blackmagic_10,0,1
_blakkat_,0,2
_bliiss_,0,1
_bloodymely,0,1
_bluemind,0,1
_bluesky19,0,1
_bobrhoom,0,2
_bonesfan_,0,1
_boneshaker_,0,1
_bonnefoya,0,1
_bosey,0,1
_boss_ladiie,0,1
_bossbitchnee,0,2
_bpaquet,0,2
_br_jsa,0,1
_bradders,0,1
_brazilfanjb,0,1
_breezyb,0,4
_brianmkelly,0,1
_bricehortefeux,0,11
_bricharles,0,1
_brieuc,0,2
_bringmetasha_,0,2
_britneybaby,0,5
_brittanyjanet,0,1
_brownbook,0,17
_brucelee,0,1
_bruno_b_,0,1
_bruuhsp,0,1
_bruuni,0,7
_bryanfury,0,1
_bte,0,1
_buddhaquotes,0,1
_bundar,0,3
_bus3eed,0,1
_bushi_b,0,1
_businesstravel,0,1
_byaah_alves,0,1
_byriri,0,1
_c__e__m_,0,3
_c_d_a,0,2
_c4productions_,0,4
_caitlins,0,1
_calavera_,0,1
_caliiii,0,1
_calum_,0,1
_camay,0,1
_camillea_,0,1
_camimahone_,0,1
_candyholic,0,1
_canyouhear,0,1
_capitalism_,0,63
_carabine,0,1
_caramelmomma_,0,1
_carla_bruni,0,2
_caro_n,0,1
_caroleb_,0,1
_carolineotoole,0,1
_carriecomer,0,2
_carrlos_,0,4
_carterdane,0,21
_cassidyrae_,0,1
_casualfr,0,1
_casus,0,1
_catalunya8,0,1
_catinahat,0,7
_catsw,0,1
_ccds,0,1
_cedrc,0,1
_celebritynews,0,1
_celestia_,0,2
_centaure,0,2
_cestlavie90,0,1
_chadwafer,0,1
_chafouin_,0,1
_charcastique,0,2
_charliehebdo,0,1
_charliy_,0,1
_charlotteswift,0,2
_che___guevara_,0,15
_che_j,0,1
_cheap_domains,0,2
_checkmate__,0,1
_cheekycarrot_,0,1
_cheikos,0,1
_chemouny,0,1
_chibile_,0,3
_chicharito,0,1
_chiquitita_,0,1
_chloewittig,0,3
_chlooe,0,12
_choobacca,0,1
_choosebieber,0,2
_chrisfloyd,0,1
_chrismorris,0,1
_christianb_,0,6
_christinegleek,0,1
_chsanchez,0,10
_chucktesta,0,1
_chuoticmvnl_,0,1
_chynnauc2nv,0,1
_cicc,0,1
_cicc_fr,0,1
_cindeeb,0,2
_cingraham,0,3
_ciraa,0,2
_citizen_ka,0,1
_citlallimg,0,1
_ciudadano72,0,2
_claireduhamel,0,1
_claremoser,0,1
_claudialiu_,0,1
_clemns,0,1
_clmartin,0,1
_clot_,0,1
_coach_fr,0,1
_coachplus,0,5
_cogelona_,0,1
_colinclark_,0,1
_colinfay,0,1
_colins_,0,1
_collegehumor_,0,1
_columboo,0,1
_communication_,0,1
_consume,0,1
_cooper,0,4
_correctomundo,0,1
_corrinebethhh,0,2
_cotyledon_,0,6
_couleurs,0,2
_courtneyundead,0,1
_crazybgs,0,1
_crazyforbieber,0,2
_criiistina,0,1
_criminal_minds,0,2
_cristian_vlad_,0,1
_cssa,0,1
_cucuchi,0,1
_curlycee,0,1
_curlz,0,1
_cypherpunks_,0,29
_d,0,3
_d3f4ult,0,1
_da7m1,0,1
_daa,0,4
_dachen_,0,1
_daddymb,0,1
_dagi,0,1
_dagospia_,0,1
_dahlet_,0,1
_daily_comedy,0,1
_dairyqueen,0,1
_damerebelle,0,1
_damianrv,0,5
_damn_it_,0,21
_damovi,0,3
_danette_,0,1
_danicia_,0,1
_danielleessolo,0,1
_daniellenieto_,0,2
_danilo,0,1
_danvaughan,0,4
_daphodil_,0,11
_darkhelmet_,0,1
_darkhours,0,2
_darkpeace_,0,28
_darsouf,0,3
_darwish,0,3
_dashingxmizfit,0,3
_daunderdog2,0,1
_dav,0,1
_davedraper,0,2
_davidphan,0,1
_davidrozo,0,1
_davidsmith,0,2
_davidt,0,2
_davidth,0,2
_davidtho,0,3
_davidthomso,0,2
_dayliight,0,4
_dazzlingdaza,0,1
_dblhelix,0,1
_dby,0,4
_dby_,0,528
_ddlovato20_,0,1
_deal2drive,0,2
_dearparents_,0,3
_defcon_,0,1
_delta_zero,0,1
_demetriacyrus,0,1
_dennee_,0,2
_derpeter,0,2
_designslut,0,1
_desillusion_,0,4
_devapp,0,1
_devcharm,0,1
_developit,0,6
_deviantart,0,1
_dexash,0,4
_dexmix,0,1
_dhalface,0,2
_dhs,0,2
_diazela,0,1
_dibdob_,0,1
_die_ente,0,2
_dienicki_,0,1
_differentness,0,1
_digitalhunter,0,2
_digitalpreneur,0,1
_diiigao,0,2
_dinsic,0,1
_diogene_,0,1
_disappearer,0,4
_dismantl,0,1
_disruptive,0,1
_divulgacaoblog,0,1
_djim_,0,1
_dlovatolove,0,2
_dmagh,0,1
_dmao,0,1
_dml,0,1
_dnadia,0,1
_dndf_,0,2
_docj,0,1
_dodoo,0,1
_dom_i,0,13
_dominique_bd,0,1
_domyah,0,4
_donavin,0,2
_dontyouhateit,0,1
_doogdoog_,0,2
_dooo,0,1
_doudette,0,14
_dovitch_,0,7
_dragma,0,1
_dralliw,0,11
_dramaxtb,0,1
_dream_3d,0,1
_drichards,0,1
_drlecter,0,1
_drmostafa,0,1
_drudge,0,1
_dsalvatore,0,2
_dschroeder_,0,3
_dte,0,2
_dtl,0,1
_dulcef,0,1
_dulceleche_,0,2
_dylan_47,0,1
_dzen,0,1
_dzeta_,0,5
_e_sport,0,1
_earlyb_,0,1
_eastsidepeezy,0,4
_eatmydookie,0,1
_eatthecheese,0,1
_ebuka,0,3
_edisar,0,3
_eduardofficial,0,1
_educationapps_,0,1
_effe17,0,1
_eforce21,0,1
_egypt_,0,4
_egyptian_ollg_,0,1
_ehhyanaa,0,2
_el_haram,0,1
_elena,0,1
_elena_xoxo,0,11
_elenaju,0,1
_elgamed_,0,1
_elham_f,0,1
_elhameid,0,1
_elhanem,0,67
_eliasok,0,1
_elijahestrada,0,7
_elis_moreira,0,25
_ellememe,0,13
_elly9,0,1
_elnemr_,0,2
_elody,0,1
_emaan_,0,1
_emanam,0,1
_emann_iv,0,1
_embi,0,1
_emboss_,0,2
_emich,0,37
_emiera_,0,1
_emilybieberx,0,2
_emma_bieber,0,3
_emmagh,0,1
_emweb,0,1
_end1435,0,3
_enriquito_,0,1
_entonnoir,0,1
_entreprendre,0,26
_eprisjustice,0,1
_epym,0,1
_ericelliott,0,5
_erinml,0,1
_esocial,0,1
_estgfar,0,1
_evan_escence_,0,2
_evan_escence_bonsoir,0,1
_evangelique,0,1
_eveilleur_,0,4
_evelienc,0,45
_evewest,0,6
_eviejjj_,0,1
_expatriation_,0,2
_eyecatch_,0,1
_fabricerobert,0,6
_facts_r_us,0,1
_fadhel,0,151
_fahd2008,0,1
_fannyss6,0,1
_fantasypremier,0,1
_fanxing,0,12
_fariss,0,1
_fashiongeek,0,2
_fataah,0,15
_fataahrt,0,2
_fatin1,0,3
_fatnick,0,1
_fblg,0,1
_fedae_,0,1
_fedenerazzurra,0,1
_feedgeek_,0,1
_feedspot,0,1
_feformicola,0,1
_felipecwb_,0,1
_femmefatalex3,0,1
_feriale,0,1
_fernandoguzman,0,1
_ffa_,0,1
_fgilang,0,1
_fhap,0,1
_fifa14world,0,1
_fifaultimate_,0,8
_filosofei,0,2
_fj85,0,1
_fl0ss,0,3
_fleur__,0,1
_fleurvg,0,1
_flight17_,0,1
_floow,0,4
_floraguillen,0,7
_florens,0,1
_florentpagny,0,3
_florian_r,0,1
_floridaman,0,6
_fmm,0,2
_foliepassagere,0,1
_followthehalo,0,1
_footytalk_,0,2
_four_horsemen,0,1
_france_startup,0,1
_frances_online,0,1
_franck_ribery,0,3
_francris,0,1
_frankette_,0,2
_fraydoe,0,1
_freaknique_,0,1
_free_lilboosie,0,2
_freed0m_,0,4
_freedom_1st,0,6
_freedom55,0,4
_french_touch,0,80
_frg,0,1
_frkshn,0,1
_frozendonut,0,1
_frzn,0,1
_ftcr,0,1
_ftmh_,0,1
_fuckfuckfuck,0,1
_fukomvp,0,36
_funkyboy,0,2
_funkyman_,0,2
_futbolero_,0,1
_future_leaders,0,1
_futurezone_,0,50
_futurezone_il,0,1
_fxckilooklike,0,1
_fyoletovaya_,0,1
_fyr,0,1
_g_vip_,0,2
_gabb8,0,18
_gabekarl,0,1
_gabrielaaa9,0,1
_galak_,0,3
_garance_,0,2
_garretecstasy,0,1
_gbona,0,2
_gedankenn,0,1
_geewhiz,0,1
_geewiz,0,1
_geezyfbaby,0,2
_georgeroberts,0,1
_getconnected,0,3
_gfu,0,2
_ghadax,0,1
_ghady_,0,3
_ghoul_,0,7
_giant_,0,5
_gilles_martin_,0,2
_gimzy,0,1
_ginanyan,0,3
_gingerounette,0,11
_glzd,0,1
_gogettavee,0,8
_goldenwolf_,0,1
_golgota,0,2
_govern_,0,1
_grahamdavison,0,1
_grahammm__,0,1
_greenroom_,0,4
_grk,0,1
_grrm_,0,2
_grumpyeditor,0,1
_guadalupe28,0,1
_gui_yom_,0,1
_guilhem_,0,38
_gunnergirl_,0,4
_gurria,0,1
_gwae,0,1
_gwennlyla,0,2
_gyca_,0,1
_h16,0,1
_haaaann,0,1
_hadi_taha,0,1
_hadialyami,0,1
_haileeray,0,1
_hairforceone,0,5
_hakanai,0,1
_hakim1415,0,1
_hala,0,9
_hamadi_,0,3
_hamzab,0,2
_hamzux_,0,3
_haneen7,0,1
_haniramadan,0,2
_hankypanky_,0,1
_hannahbieber_,0,8
_hanoufx,0,1
_happy_face,0,1
_happysmile_,0,1
_harukimurakami,0,1
_has,0,1
_hayfa_,0,46
_hazem,0,14
_hazzakhan_,0,1
_heenism,0,1
_hela__,0,3
_hellobieber_,0,1
_helloimlauren,0,1
_herewego_me,0,1
_heyitsme,0,1
_heyyjude_,0,2
_heyyoulovato,0,1
_hf8v,0,1
_hg_x,0,1
_hikaru_chan,0,1
_hinahiyori,0,2
_hishamallam,0,3
_hitsumabushi,0,1
_hmashlah,0,1
_hmpf_,0,3
_hoek,0,15
_holliebeliebs,0,1
_honza,0,1
_hoodsy,0,1
_hoopy,0,4
_hornybelieber_,0,1
_hosnimubarak_,0,1
_house__music,0,1
_houseandgarden,0,5
_hova,0,1
_hugebelieber_,0,1
_huguito_,0,1
_hunniedip,0,1
_hwangmiyoung,0,2
_hyperion4,0,1
_i_n_d_i_a_,0,1
_i7am,0,1
_iaci,0,2
_iam_crazy_,0,2
_iamaisha,0,12
_iamalik,0,1
_iambored,0,1
_iamextra,0,1
_iamina,0,1
_iammelissa_,0,2
_iammj,0,1
_iamthatcade,0,1
_iamvampire,0,1
_ianis_,0,1
_iberny12,0,2
_ibnsaeed,0,1
_ibrahimovic,0,7
_icve,0,1
_icze4r,0,1
_idanah__,0,1
_idhem_,0,2
_idm_,0,3
_iendo,0,1
_iette,0,1
_ifallelsefails,0,1
_ifb,0,5
_igna20_,0,1
_ignorado,0,1
_igreg_,0,1
_iheartmiley_,0,1
_iheartswift13_,0,1
_iimaann_,0,1
_ikaramba_,0,2
_ikatherynesays,0,1
_ikhawla1,0,1
_ikki,0,1
_ilgiustiziere,0,1
_ilguru_,0,3
_iloshy_,0,3
_ilovekaty,0,1
_iluvbreezy_,0,1
_iluvnickiminaj,0,2
_iluvyoujustin,0,2
_ilves,0,12
_imaanobaray,0,1
_imasmiler,0,1
_imayada,0,3
_imback,0,1
_imjustnicoleb,0,1
_imkiran,0,1
_importantnews_,0,2
_imsabrina_,0,1
_imspacegone,0,2
_imthefckinboss,0,6
_imurad_,0,1
_inawafd,0,1
_independent_,0,1
_industrie,0,3
_indysian,0,11
_ineedyourlovee,0,1
_infinitebody,0,2
_infodujour,0,221
_infolibre,0,2
_informaction,0,2
_infos,0,15
_ingodwetrust42,0,2
_insalubre,0,1
_insc,0,75
_inside,0,3
_inta,0,2
_introducing_me,0,1
_intt,0,13
_intuition,0,1
_ipopflats,0,1
_iridescent,0,1
_irishbelieber_,0,43
_iromeo_,0,3
_isabellatreacy,0,1
_isramanero,0,1
_issamanny,0,1
_isuckiswallow,0,1
_isupportkevin_,0,6
_isyap,0,1
_itsaliciaa,0,1
_itsbiebertime_,0,1
_itsdia,0,5
_itsjadey,0,1
_itsjosh,0,4
_itsken,0,1
_itslhynlee,0,1
_itsmarina,0,1
_itsmeelenag_,0,1
_itsmegaaane,0,3
_itsmimibbyx3,0,1
_itsnicolea_,0,1
_itsserena,0,29
_itweetfollowme,0,1
_itzmjod,0,1
_ivoirian,0,1
_iwarble_,0,1
_ixv9l,0,1
_j0z3r,0,10
_j7md,0,1
_jackalope_,0,1
_jackanderson25,0,3
_jackbrown,0,11
_jacksparrow_,0,1
_jacques_chirac,0,4
_jadakisss,0,1
_jamaisvulgaire,0,1
_jamesward,0,19
_jamesyoung,0,1
_janiee,0,1
_janu,0,1
_jarofhearts_,0,2
_jasmou,0,3
_java_coder,0,2
_javaslang,0,4
_javierc,0,1
_javierparrado_,0,1
_jayclay_22,0,1
_jaymoses,0,1
_jayphelps,0,1
_jb_loveyou_,0,1
_jbieberswag,0,1
_jbismydrug_,0,1
_jbismyworld,0,1
_jbmeetu_,0,2
_jcbales,0,3
_jcubz_,0,1
_jdbieber_fan,0,2
_jdg,0,1
_jean_aimarre,0,3
_jean_sarkozy,0,10
_jeanne,0,1
_jeffreydpalmer,0,1
_jejjung,0,1
_jenna_marie_,0,1
_jensine,0,1
_jeri_brown,0,2
_jessameaners,0,1
_jessicadaisy,0,1
_jeuxolympiques,0,3
_jg_up_,0,2
_jhco,0,1
_jil_love,0,1
_jmichaelward,0,1
_jmoriarty,0,1
_jmtrance,0,3
_joannxo,0,1
_joaocoimbra,0,1
_joceee,0,1
_johancruijff_,0,1
_johnmcenroe,0,1
_jonas_7,0,1
_jonasf_,0,1
_jonassupporter,0,1
_jonatasduarte,0,2
_jonathanwhite_,0,1
_jordan,0,1
_jorgehenrique,0,3
_joseamaral,0,2
_joseeee,0,1
_josephmorgan,0,1
_joshnh,0,1
_joviann_,0,4
_ju1_,0,2
_juandg,0,1
_juanmnl,0,1
_juicayjay,0,2
_juliasteiner,0,1
_julie__g,0,1
_julieeeeet,0,2
_julienh,0,1
_julienpain,0,33
_julioc,0,1
_julyete_,0,1
_jungejunge_,0,1
_juniorpadilla,0,1
_juscourtneytbh,0,1
_jusdbiebs_,0,1
_just_milla_,0,1
_justaaron,0,1
_justdanbieber,0,1
_justinbiebers,0,1
_justincarlson,0,1
_justinmylove,0,1
_justinsbieber_,0,1
_justsaytayy,0,1
_justsophie,0,1
_juvenillefc,0,1
_kaaatty,0,3
_kaathryn,0,9
_kadyaidee,0,1
_kafajeste_,0,2
_kahramana_,0,5
_kailssss,0,1
_kamalkhan,0,1
_kambodia_,0,1
_kamel93youssef,0,1
_kamelus_,0,1
_kamiliia,0,1
_kandam_,0,1
_kapu_kapu,0,1
_karijb,0,1
_karim_benzema,0,1
_karmamojo,0,2
_karmelle_,0,1
_kasdine,0,3
_katieonline,0,1
_katrijn,0,24
_katyra,0,1
_kay_jae_,0,1
_kazxo,0,1
_kbrown_,0,1
_ke_lli,0,1
_keirax,0,2
_kelpe,0,1
_kentmurphy,0,1
_kesoto,0,1
_khadeja,0,1
_khalidj_,0,2
_khawlaalshaikh,0,1
_khayess,0,1
_kickbutt0wski,0,1
_kid37,0,3
_kidkult_,0,1
_kidmark,0,1
_kidrauhling,0,1
_kierrrrra,0,1
_kiitus,0,4
_kill_i_am_,0,1
_kimera0,0,1
_kimyaloder,0,2
_king_ben,0,1
_kinganderson,0,1
_kinseis,0,1
_kissme_sweet,0,2
_kitetoa_,0,17
_kitty_glitter,0,1
_kittybitty,0,2
_kleingeelvisje,0,1
_kleptomaniac_,0,1
_kloe,0,2
_kobachi,0,1
_konna_,0,55
_korpiklaani,0,1
_kouhei,0,1
_koushoku_,0,7
_kpopismydrug,0,1
_kristenbieber,0,1
_ksebastian,0,99
_kud,0,27
_l,0,1
_l0veyoubieber_,0,1
_la,0,1
_la_crevette_,0,2
_ladyboners,0,3
_ladykinsha,0,1
_laetitiad,0,4
_lafontpresse,0,1
_lamais,0,3
_lamariane,0,2
_lamarquise,0,2
_lamda,0,2
_lamia,0,1
_lamiry_,0,1
_lamis,0,3
_lanide,0,5
_lapetra_,0,1
_lateub,0,1
_latige_,0,1
_latinlovers,0,1
_laura_16,0,1
_lauramour,0,1
_lauren_kat_,0,1
_laurenbieber,0,2
_laurentb,0,3
_laurieanne,0,1
_laurynadams,0,1
_lazawrd,0,9
_le_fil_,0,5
_le_taureau,0,1
_lebonbon,0,5
_lecollectif,0,10
_leenaaaa,0,1
_leeonie_,0,1
_lefashion_,0,1
_lekaaa_,0,3
